itm_mstr_key,sys_cd,form_vrsn,spec_vrsn,itm_srt_id,itm_id,itm_db_id,itm_shrt_label,itm_sect_srt_id,itm_sect_label,itm_grp_cd,itm_loinc_id,itm_type_cd,fixed_rec_srt_id,fixed_rec_strt_byte,fixed_rec_end_byte,fixed_strt_end_bytes,fixed_rec_lngth,itm_vrsn_notes,itm_txt,isc_active,isc_inactive,isc_state_opt,NC,NP,NQ,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX
1,MDS,,,100,ASMT_SYS_CD,ASMT_SYS_CD,Assessment system code,01,Control,Control,,Code,100,1,10,1-10,10,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,x,x,x,x,x,x,x,x,x,x,x,x
2,MDS,,,200,ITM_SBST_CD,MDS_ITM_SBST_CD,Item subset code,01,Control,Control,,Code,200,11,13,11-13,3,"[V3.00.0]-The following values were deleted as valid values:  NS, NSD, NO, NOD, SS, SSD, SO, SOD.  The following values were added as valid values:  IPA, OSA.",,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,x,x,x,x,x,x,x,x,x,x,x,x
3,MDS,,,300,ITM_SET_VRSN_CD,ITM_SET_VRSN_CD,Item set version code,01,Control,Control,,Code,300,14,23,14-23,10,[V3.00.0]-Added new valid value [1.17] for the new item set.,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,x,x,x,x,x,x,x,x,x,x,x,x
4,MDS,,,400,SPEC_VRSN_CD,SPEC_VRSN_CD,Specifications version code,01,Control,Control,,Code,400,24,33,24-33,10,[V3.00.0]-Added new valid value [3.00] for the new specs.,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,x,x,x,x,x,x,x,x,x,x,x,x
6,MDS,,,600,PRODN_TEST_CD,PRODN_TEST_CD,Production/test indicator,01,Control,Control,,Code,600,34,34,34-34,1,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,x,x,x,x,x,x,x,x,x,x,x,x
7,MDS,,,700,STATE_CD,STATE_CD,Facility's state postal code,01,Control,Control,,Code,700,35,36,35-36,2,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,x,x,x,x,x,x,x,x,x,x,x,x
8,MDS,,,800,FAC_ID,FAC_ID,Assigned facility/provider submission ID,01,Control,Control,,Text,800,37,52,37-52,16,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,x,x,x,x,x,x,x,x,x,x,x,x
9,MDS,,,900,SFTWR_VNDR_ID,SFTWR_VNDR_ID,Software vendor federal employer tax ID,01,Control,Control,,Text,900,53,61,53-61,9,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,x,x,x,x,x,x,x,x,x,x,x,x
10,MDS,,,1000,SFTWR_VNDR_EMAIL_ADR,SFTWR_VNDR_EMAIL_ADR,Software vendor email address,01,Control,Control,,Text,1000,92,141,92-141,50,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,x,x,x,x,x,x,x,x,x,x,x,x
11,MDS,,,1100,SFTWR_PROD_NAME,SFTWR_PROD_NAME,Software product name,01,Control,Control,,Text,1100,142,191,142-191,50,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,x,x,x,x,x,x,x,x,x,x,x,x
12,MDS,,,1200,SFTWR_PROD_VRSN_CD,SFTWR_PROD_VRSN_CD,Software product version code,01,Control,Control,,Text,1200,192,211,192-211,20,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,x,x,x,x,x,x,x,x,x,x,x,x
13,MDS,,,1300,FAC_DOC_ID,FAC_DOC_ID,Facility document ID,01,Control,Control,,Text,1300,212,231,212-231,20,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,x,x,x,x,x,x,x,x,x,x,x,x
14,MDS,,,1400,A0100A,NPI_NUM,Facility National Provider Identifier (NPI),02,A,Asmt,,Text,1400,232,241,232-241,10,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,x,
15,MDS,,,1500,A0100B,CMS_CRTFCTN_NUM,Facility CMS Certification Number (CCN),02,A,Asmt,,Text,1500,242,253,242-253,12,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,x,
16,MDS,,,1600,A0100C,STATE_PRVDR_NUM,State provider number,02,A,Asmt,,Text,1600,254,268,254-268,15,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,x,
17,MDS,,,1700,A0200,PRVDR_TYPE_CD,Type of provider,02,A,Asmt,,Code,1700,269,269,269-269,1,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,x,
18,MDS,,,2600,A0500A,FIRST_NAME,Resident first name,02,A,Asmt,,Text,2600,280,291,280-291,12,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,x,
19,MDS,,,2700,A0500B,MDL_INITL_TXT,Resident middle initial,02,A,Asmt,,Text,2700,292,292,292-292,1,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,x,
20,MDS,,,2800,A0500C,LAST_NAME,Resident last name,02,A,Asmt,,Text,2800,293,310,293-310,18,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,x,
21,MDS,,,2900,A0500D,SFX_TXT,Resident name suffix,02,A,Asmt,,Text,2900,311,313,311-313,3,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,x,
22,MDS,,,3000,A0600A,SSN_NUM,Social Security Number,02,A,Asmt,,Text,3000,314,322,314-322,9,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,x,
23,MDS,,,3100,A0600B,MDCR_NUM,Medicare number,02,A,Asmt,,Text,3100,323,334,323-334,12,[V3.00.0]-Revised item label to match item sets.,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,x,
24,MDS,,,3200,A0700,MDCD_NUM,Medicaid number,02,A,Asmt,,Text,3200,335,348,335-348,14,[V3.00.0]-Revised item label.,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,x,
25,MDS,,,3300,A0800,GNDR_CD,Gender,02,A,Asmt,,Code,3300,350,350,350-350,1,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,x,
26,MDS,,,3400,A0900,BIRTH_DT,Birthdate,02,A,Asmt,,Date,3400,351,358,351-358,8,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,x,
27,MDS,,,3500,A1000A,AMRCN_INDN_AK_NTV_CD,Ethnicity: American Indian or Alaska Native,02,A,Asmt,,Checklist,3500,359,359,359-359,1,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,x,
28,MDS,,,3600,A1000B,ASN_CD,Ethnicity: Asian,02,A,Asmt,,Checklist,3600,360,360,360-360,1,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,x,
29,MDS,,,3700,A1000C,AFRCN_AMRCN_CD,Ethnicity: Black or African American,02,A,Asmt,,Checklist,3700,361,361,361-361,1,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,x,
30,MDS,,,3800,A1000D,HSPNC_CD,Ethnicity: Hispanic or Latino,02,A,Asmt,,Checklist,3800,362,362,362-362,1,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,x,
31,MDS,,,3900,A1000E,NTV_HI_PCFC_ISLNDR_CD,Ethnicity: Native Hawaiian/Pacific Islander,02,A,Asmt,,Checklist,3900,363,363,363-363,1,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,x,
32,MDS,,,4000,A1000F,WHT_CD,Ethnicity: White,02,A,Asmt,,Checklist,4000,364,364,364-364,1,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,x,
34,MDS,,,4200,A1100A,NEED_INTRPTR_CD,Does the resident need or want an interpreter,02,A,Asmt,,Code,4200,365,365,365-365,1,,,"NC,NQ,NP,ND,NPE,IPA,OSA,SP,SD","NT,ST,XX",,x,x,x,x,,x,x,x,x,x,,
35,MDS,,,4300,A1100B,INTRPTR_LANG_TXT,Preferred language,02,A,Asmt,,Text,4300,366,380,366-380,15,,,"NC,NQ,NP,ND,NPE,IPA,OSA,SP,SD","NT,ST,XX",,x,x,x,x,,x,x,x,x,x,,
36,MDS,,,4400,A1200,MRTL_STUS_CD,Marital status,02,A,Asmt,,Code,4400,381,381,381-381,1,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,x,
37,MDS,,,4500,A1300A,MDCL_REC_NUM,Medical record number,02,A,Asmt,,Text,4500,382,393,382-393,12,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,x,
38,MDS,,,4600,A1300B,ROOM_NUM,Room number,02,A,Asmt,,Text,4600,394,403,394-403,10,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,x,
39,MDS,,,4700,A1300C,PREFRD_NAME,Name by which resident prefers to be addressed,02,A,Asmt,,Text,4700,404,426,404-426,23,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,x,
40,MDS,,,4800,A1300D,LFTM_OCPTN_TXT,Lifetime occupation(s),02,A,Asmt,,Text,4800,427,449,427-449,23,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,x,
41,MDS,,,1800,A0310A,FED_OBRA_CD,Type of assessment: OBRA,02,A,Asmt,,Code,1800,270,271,270-271,2,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST","OSA,XX",,x,x,x,x,x,x,x,,x,x,x,
42,MDS,,,1900,A0310B,PPS_CD,Type of assessment: PPS,02,A,Asmt,,Code,1900,272,273,272-273,2,"[V3.00.0]-Values [02,03,04,05,07] were removed as valid values for this item.  Added [08] as a valid value.",,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST","OSA,XX",,x,x,x,x,x,x,x,,x,x,x,
43,MDS,,,70352,ITEM_FILLER_045,PPS_OMRA_CD,Item filler: replaces old A0310C,28,Filler,Filler,,Text,2000,274,274,274-274,1,[V3.00.0]-Filler item to replace deleted item A0310C.,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,,,,,,,,,,,
44,MDS,,,70354,ITEM_FILLER_046,SB_CLNCL_CHG_CD,Item filler: replaces old A0310D,28,Filler,Filler,,Text,2100,275,275,275-275,1,[V3.00.0]-Filler item to replace deleted item A0310D.,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,,,,,,,,,,,
45,MDS,,,2300,A0410,RQRD_SUBMSN_CD,Submission requirement,02,A,Asmt,,Code,2300,279,279,279-279,1,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,x,
48,MDS,,,6510,A2400A,MDCR_STAY_CD,Has resident had Medicare-covered stay,02,A,Asmt,,Code,6510,494,494,494-494,1,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST","OSA,XX",,x,x,x,x,x,x,x,,x,x,x,
49,MDS,,,6520,A2400B,MDCR_STAY_STRT_DT,Start date of most recent Medicare stay,02,A,Asmt,,Date,6520,495,502,495-502,8,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,x,
50,MDS,,,6530,A2400C,MDCR_STAY_END_DT,End date of most recent Medicare stay,02,A,Asmt,,Date,6530,503,510,503-510,8,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,x,
51,MDS,,,5200,A1500,PASRR_CD,Resident evaluated by PASRR,02,A,Asmt,,Code,5200,450,450,450-450,1,,,NC,"NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,x,,,,,,,,,,,
